sku,a,b,c
ee15bd8b70cc7458940df3ed67a23a53,14.0,4.0,16.0
f0a36bb8c7a95ab584cce8c4c94aef37,10.0,10.0,20.0
7183c2a50cc1c5e24caf153c06ba792a,10.0,12.0,15.0
deca62b164081cd4f59c709930b82daa,37.4,36.9,6.3
10f78eb59d5cc70b8e2669c139186102,18.0,1.0,4.0
8e347adb5a57c321140bdcbfaa056836,9.0,5.0,27.0
16e130bd77d578da0ba5148d0ac03180,27.0,4.0,9.0
533e7916dc942eb96b7523a3bdc0ab0b,9.0,5.0,26.0
da4a728c31464131920c0dd7d5aaddc3,30.0,20.0,40.0
c824a1980b1240b5a9d59e76bf65df2b,21.0,4.0,8.0
0eeecc143d032118866fe016839e0295,1.0,5.0,15.0
9816285ca3b4fd8145844dcbcbd5f970,26.0,24.0,6.0
2e4e11565efb53e8e31cb1c1b317ebe0,1.0,4.0,15.0
bb68903c7f1502dd8dec1a78e6fa4047,45.0,35.0,10.0
92caba38995d7b084478ce93094e40b7,34.0,18.0,18.0
de8ca98d3425282c9403ef1e29bf6a55,42.5,2.0,31.0
420cc3ae306c4c0176f47d23ea23defb,45.0,2.0,35.0
3cd64f8c88156638722051ada7d527ec,23.0,2.0,4.0
412e94cbef55c38ca131d23fafb2a163,19.0,3.0,4.0
153769fae45398d7e759ca011f0768b1,3.8,3.3,18.4
74d3498707a770556443c96222d6996c,23.0,3.0,4.0
e78cecf110372cf7e1dd483f0a994a9a,23.0,2.0,4.0
756a9e648a2c048a2cdf9c074ecb34dc,24.0,3.0,5.0
ad5d5f56c88649244b628af61a2bfaf9,7.0,4.0,18.0
cec8e08fb2c232175d64b4036f1055ae,6.0,6.0,20.0
56eba6cd7c5994010083a7060ca88229,19.0,3.0,4.0
c7949c91e3c7c6027dc15029716c09d8,17.0,3.0,7.0
a0bf3187cd4a52652aa5c324b942da1f,20.0,3.0,4.0
08c337c03e082f846b3ca208e05846c3,4.0,4.0,20.0
a8aa21a9d6685a88bef466e2b27720c3,12.0,6.0,10.0
dd6572ec6ef7a5f13d3c72db48c9ef1f,5.0,8.0,8.0
ffe85ee372c0528d2bc595ec82218772,9.0,5.0,8.0
54d3b23be82a4d3b7932016fd8e0e6f1,6.0,13.0,9.0
d184635ad5fe57749c1b16871e1453be,10.0,3.7,8.8
22e2f0e8407d06366d808e8af215f8d4,9.5,15.5,4.5
83620e95453e8e801c0f462f64d5811d,26.0,16.0,20.0
a7200f9da10941ace754adedf6ca8b42,9.0,31.0,0.5
7ef0d6dc3540bd02c1aa82d54c1fd46c,30.0,1.0,8.5
a9d36f53bf419aa533ba20aa0ceff8ae,8.0,22.0,5.0
8951927b835be609d0a7643204998238,16.0,22.0,7.0
b3ba4fdec12e78bcb35b1da64a307f41,16.6,9.4,27.8
37888dcb6a3e45bf14ac37c78213cba4,9.0,20.0,40.0
90b3937afe00478897454b636752b01d,6.0,24.0,7.0
2ec538749d9c8e3c1c666a6b1eb68afd,8.4,5.1,22.3
dadcf994e1c914dca6e369335de7c407,7.0,22.0,5.0
d30f6b96f5eb69229cf28f0b1125a38e,8.0,21.0,5.0
9240b8b7b2317fa43f28c80a3e4dbf70,3.1,3.5,6.9
3f2ed84dcdb11a38a77b4db7aaa105b8,6.2,27.2,6.6
7017ee5e2ffebeb1d1a2a9ac1ab02055,7.0,23.0,5.0
384f55617cf12c999dad624d48f2e6f0,8.0,5.0,22.0
d0411008c206aaaa2bea007d6d1b1b49,7.0,16.0,7.0
8c58040f5ebdd958bdba984c98c987ff,10.0,13.5,3.5
b98647c35e8f3cafb977435fcf92be4c,10.5,7.1,17.8
fefab0134eae1e1ca1e24bb6d4e1928d,23.0,7.0,14.0
8d185377097bdab0326f4f7094ec2e54,8.0,8.0,5.0
2c54d9aad0c4ffbb5ca31d25aa8b38c5,22.2,10.1,15.0
05bca3fa60fe489fcf9c3c939409525e,9.0,17.0,17.0
eb40a4519f9d76c1dc82cfb7b4935880,17.0,8.0,8.0
8195c565dc5ae59f94b55fb1e4470304,25.3,8.0,14.5
fb3dbdde89700354ef3255932c6fda64,11.6,6.4,15.8
0b7fde62aa5ad566da929a9ff3727393,28.4,5.1,8.5
3a72697bd79846b7b08f9b2f405b3542,21.0,6.0,10.0
8c95744d57fad9e6cbbb5a91c8ec36c9,8.6,4.6,17.3
3de7fa3f32a78f8e7757ba9c48637a8e,71.0,7.0,17.0
73f0ba08b65f724ebe888d7cf852d768,14.0,7.0,7.5
edc1f52497658aef7def4bd949f642d4,15.0,10.0,10.0
1658d587d49a8cd2e753f638813448cf,6.0,12.0,24.0
2fde4a47efec9d2d045749c39e628e4f,7.2,10.9,8.5
92b0696f2ba0d7c1adfc7d05e727c8f3,14.0,8.0,8.0
dedff657545bba4d0a6cd4bf8f6b7507,16.0,4.2,8.7
aafb41910ea95e4094b7ff25c8672d41,9.0,8.0,8.0
c5dea7ed1aefcaea78ce9e31875ba65f,8.0,17.0,6.0
9dfe05b2b76604663d55e662d19011a8,8.5,8.4,10.5
ae0573c5d24a6a757413bd314aa8d202,14.0,25.0,8.0
02e0b25c83fe8dc81d89f2380a69fb39,6.0,7.0,30.0
26d9261dd71cc5cb017a660edb5c4cb3,10.0,16.0,10.0
b4c5e1bf2c00da1dc982e7301a049e85,10.0,24.0,7.0
2a338a6997f3e5a97f7e63d0acd66014,10.2,22.4,7.1
f4f56cd498b1118489b00ef7819f29fe,5.4,10.2,4.6
018da43057c59dbf5aeea77d9f329438,25.0,29.0,40.0
4e661640f631716c35e73336f05c8630,14.5,23.0,5.5
66b9bdaad738261f983327ee0cae5f57,12.3,33.7,18.8
a90a2de775e0d5c761432144c710b070,17.0,4.0,20.0
5b13de813dc692918f2be37445ff3bfb,17.0,4.0,20.0
36494183e140902247dad46e2677f79f,15.0,24.0,6.0
660dd33758ca00ec0ccc146ad49bf17b,9.2,4.2,21.4
092d8ed7ce45113436cfa23eb7673899,33.0,10.0,33.0
66516cd98d39a805116be448391da957,19.7,8.2,24.8
cd74e69a30e158fcb8dde17975ddde6f,54.0,30.0,33.0
f546fc76d6a8a5fb11bded12d52cba01,14.0,16.0,13.0
9d7d924d10c7d54db7646ba60823e32c,35.6,19.4,23.6
814d6de48a9c8d4d5160aeebc0101719,30.0,21.0,20.0
dbda411237d47cda7108141e5a714d3b,16.9,1.6,20.3
a90ab7ab9b8a5cd76d67d4f32f669fe6,33.0,13.0,11.0
054a990eca444fdd9ffa53992fa90400,30.0,19.0,19.0
e4099afd75c6fa320715c53a6a57030b,10.0,23.0,5.0
179ab58038898d49170a4d0cc1cf995e,22.0,3.0,17.0
f5fc4a8c5da9059f36e9122dbfa4a796,6.0,18.0,4.0
6833e3ff8505e018cdb7ba678468d098,6.9,2.0,7.2
6252a5e175731f16f0a60212869009a8,17.1,6.3,9.2
946b71a990b5212426d79009bc0d4603,6.0,8.0,5.0
d84f1aadb79c168c0ed8e487bfd9ac3c,11.3,4.3,4.4
1fdff1afeaaec81316bbff40bbe34b1c,8.0,22.0,4.0
4f435b2c1f1ecdd3e544744e3d851df4,7.0,20.0,3.0
e5432c1d9b5b0239e9c26ba929298445,7.0,6.0,7.0
2fef6388fd0f99af29c04ec3d0752333,8.0,23.0,4.0
af19afad231921ed7d58f68b4a624bbb,6.3,19.2,5.1
4f31b8823adbabc8dfe66ffee6fd1ddd,17.1,6.3,9.2
5b548238e4d25af949c4f63780ef6d25,13.0,4.0,7.0
b0c1d6b2930379b5770e95bb64b6dd7a,9.0,18.0,8.0
6666637051ac21f7400484293af16a27,6.8,6.1,7.1
5b71eeac399857fdf8c052b3046652c2,7.8,18.1,4.1
264ecfc5d28c3926896c1cd0a277ab6e,9.0,17.0,8.0
845a8ec0e211728c6d7965af026caa37,30.0,2.0,10.0
8ed60e11cbbec33a72d8bde6b1b4233d,17.0,6.0,10.0
ebf5a4a4339db5299375ba2bf45c0afa,9.0,6.0,6.0
e8c6b5a917b2835febb4f1044862b83d,8.5,3.6,5.1
4beb32f25d38695dc703df0adca4d560,19.0,6.0,7.0
3b38ae5027167f0cba0f4dce459496e4,8.7,21.6,5.2
2960625a61ad22c2b5806940f16d024c,8.0,23.0,4.0
77cb36aae50b242ef8ea02e3089c17cc,7.8,18.1,4.1
7a6068be4f86c28bebcebee5fc32541b,3.5,14.5,4.8
bce346ec43019c00a084f5177c91b4fd,5.6,9.1,5.3
53803641d5d11b24e5d183970f551fc4,5.7,15.9,3.9
681ca6b2d71359844f5982c21bdc1e46,9.4,6.1,17.2
ef91099f10d384e34e40ea7f201ec600,5.3,16.9,6.1
749846e530a1467c803778c44eeffea1,3.4,12.8,5.2
45771e2ff36ec59b2c9354c5f2926d33,5.4,16.4,7.5
c2ec603e24c3885b7ee49c9f0b7e6281,7.0,6.0,7.0
a9172876374d6285438dc91a2755347b,5.0,4.0,16.7
058be2d3d8cc8dbc591e09b2542221b4,9.0,23.0,5.0
fbcc9dc2b15d0b9c7d48a417843c9325,6.9,5.9,7.1
335c173cd556a8080692375f842b5d90,5.9,3.5,12.2
b92b93914c3bd3ee5b932a5b79e0865f,3.4,17.6,5.1
00dd84b999a017c9039b6e4b3ca42e5a,3.3,1.8,8.3
ea43345f4b5c16a23f8e85a7029f4122,7.9,7.5,10.8
9b9e6b4430293a00c33881e3c6800f84,8.0,8.1,9.1
b35c60d2c84258a8166ae5da5ae27cc8,3.3,16.3,7.7
32bfa38c88e0144917d5a20e66b199ec,4.5,17.0,4.0
16b7b3bec66483ab861d7fc5b32815fc,5.4,16.7,5.5
f44fa6e53de476885f40ec5862ea6bcd,6.5,7.1,6.6
9eabf0ecd79caf9402e3140d823ee9ab,12.4,1.1,17.4
0cb0c4d02fb4d3d5b244da4ee07800e8,9.5,7.8,10.1
9ec45d24586f27c71c727cd14bfc22b2,5.2,5.2,10.1
e98866e064bd6b6d6902bf245559cd8d,7.0,2.0,7.0
a866250e954d15d66d3434f8080b50c6,5.0,3.7,15.2
5109658b77a71da62cab61e0fae7a74e,7.0,5.9,7.1
3cbe041984c252503650b6a0a403bde0,4.0,13.0,4.0
b87b69f2efb365839b5c4d34437ff91c,5.0,11.0,5.0
a4414be7a97d424199a214af4481a876,11.5,0.7,17.3
207247d5e94e2d97279f237f66c15d78,8.8,6.1,10.6
a73a0879834c6b823f1ba477ed622fcd,3.7,13.7,5.9
1897a1547cf91230941de4e6c97a105c,6.7,8.1,8.5
c53d00444482203eba722037b4d900f3,15.0,5.0,5.0
4d8f846d1f4047e5ef0bfa7c1f816de5,7.0,2.0,7.0
dde6eac55138d5a38f07651f42073d68,6.1,3.4,6.9
6592248ce2cd266f73ffd2d16367beb9,8.0,22.0,4.0
6c883b9fecfc86e0dc383cc39fd4e2ed,5.6,15.1,6.9
41ce193caa3d29968a29f2767410543a,3.0,12.0,3.0
88462f3b01f79b8eb13c131941c8729f,3.7,9.7,5.5
b8c716e4d394243378e0c3be7b2c1fb4,4.0,13.0,4.0
3c94bfcc18f71c1b870e1dc0296e3fa7,8.4,1.0,14.5
db93d2424682f3e0f847b0db7adc8c76,8.2,7.1,17.1
a7629cf29baf31f12a0a65709fb972a2,4.0,11.0,4.0
46cd7f73c3d8a402633cdc6d3e3477a7,3.0,11.0,3.0
7ab3855c15e8dc621b8d5b486926fb28,15.4,4.5,8.3
9430037f2ce19840241d771cec2abe52,6.0,3.8,6.2
ec95bbe7991ffa7895cb686d8a14e662,18.0,3.0,8.0
ed7ea5b2d2f0a0baa412074e383a0fc4,18.8,6.6,9.1
ad942f32c62ed26c6d3dda2b413c5fae,6.0,4.0,14.0
60beb7dc7a739ae0c8e629d0c024a797,12.0,4.0,6.0
11c1c42db10d27d4111c98e47e7c8d19,18.5,8.1,7.8
62014c9a062e5e50a755ac09eee86bf6,18.0,3.0,4.0
f8c7ae458ae949effea73b79d8021e5c,6.0,12.0,6.0
7741e50d1e09be38081d0a13f3cb6e52,10.0,17.0,7.0
95e8ad7bd92825fee00320d7ffd5a6a8,13.2,3.6,5.4
8cff1d00d6a941d50d52f1a302527220,15.9,3.7,3.9
d8955814d51ac76eab1005f5305039e3,11.0,3.0,3.0
42489b24859091f09d7c08e7eeaafe96,11.0,8.0,11.0
bba7816ba3edd73e87f39e1364a92e78,11.0,3.0,3.0
5d0a900dc8ff943be50c69af3fdefdbf,5.0,20.0,5.0
05df9e3d1b4da6e921478a82b8b864b7,4.0,13.0,4.0
a5d2381c42275f2f10a8e3eeb59b5988,7.0,6.0,7.0
7c1166501c0319e69d0b64dd7bf1163e,4.6,20.4,7.6
506cf1ccb8122aa63d9ca470281df2be,5.2,16.7,4.8
d1d428c80317b2a7c6b78ef313b8d7d9,3.9,19.0,7.2
80b763d8036c9acb9f08a802531bcbcb,6.6,7.4,7.2
22ff537a67ff942f11a8bc66ab0397ab,6.2,3.4,12.0
bc2ae356ffa662003f95a628bad7faa9,8.0,8.0,18.0
b5101e3fd8d75e5a0a4b078947da04df,8.3,8.2,9.3
17695dbfdfac671ecb6f8f4f16e9ccf4,5.6,3.5,12.8
fd8d15fb725048060293e649da85e42e,9.3,6.2,16.9
2f118d16b280bd476b741b27344c8cf2,8.5,7.0,16.8
dbe79adf1870126c52d0c1f4b51a95a5,5.2,13.6,5.9
910d83b5b662a7db0bb90e77b0ca547a,5.8,3.5,12.4
a06503b1c75f1fe57cc8f746356723e3,5.6,3.7,13.1
18a6b3aa67da08a4a367f091d8292761,5.0,17.2,5.1
8e754ef016e5cdbfdac115f7e8bcf57a,1.0,16.0,18.0
241cd7d7a5e0ca8f604547115d7775fe,4.6,18.1,7.9
b359daf2b25d3bceeeffb2da53bda76b,6.1,3.5,12.4
2e692354d04d325748b6425d25a67f08,7.0,6.0,7.0
6566c7abd06b47accae2750884367a42,8.8,6.7,6.8
1cb88717844992441e8c3dc454f5cc3d,8.3,1.1,14.3
c324fb3e89fd0034c988ac6ee7218819,5.0,11.0,5.0
a07fcf6713ace15b5ca0457ca7314501,6.8,23.9,9.2
1102f637bbc7258a6aec4bc009143c21,10.3,6.3,14.6
e0756d3b7cb4dcb8f2517fe094341c5f,7.0,18.0,5.0
481cdfd125b4b89dcfc2f9008b479b29,3.4,16.3,6.2
399c6fd229d9940c3ffda7536b26999f,3.8,12.5,6.8
e5bde02a54ba5c0f782e9776097ee212,16.9,11.3,32.8
7cf4cccc6b1ce86245004609b620813c,18.6,7.9,20.9
9f9149d4e5c0732b52cabca3e051cc78,9.2,1.9,12.1
b4c833fabd2d0c4dabc54d0df53d3b7e,23.0,5.0,17.0
38192c4e8bebd0e6abeb9c74824dd3e1,4.7,12.5,5.0
91201115d67791f25a175370254ce90f,47.0,17.0,9.0
c77b3dc0db6646d82f05b5e9145408f2,4.1,13.8,4.6
d5091e54ea552c2872bd58af3e0f2b43,4.4,7.8,11.8
8af59434d3db299cd7f84e5e9be3d548,35.0,15.0,15.0
44622e9ad9e510582693ccc103e7ca27,14.0,1.0,19.0
ae61003c4e5ccff7d25ca909fe3ade7c,16.7,5.5,10.3
98bee665f69fe9c4af46462addd5b372,3.4,16.3,6.2
dfde7193f9dedea2acf60bb5ffd4d3bf,17.0,7.0,15.0
92b64ffdb032bd3dd74562ef1cc69d62,4.5,25.7,8.4
17fafae31441aa8ec247d2947ef15c50,17.6,8.4,21.2
1cd71d3f65e7ae4e9284d0ccd570edda,4.5,19.7,5.9
b87f0b639a6ed852bf7482f8417eebbe,15.0,9.0,5.0
999c0df9ffce27523b4639c4a9b23b85,17.6,8.4,21.2
fa1d1c4637cea3b02e2bfd3774d07326,4.6,18.1,7.9
002f90f62629a41e3cef0c65742f9724,5.2,16.2,4.0
00cfe66b5280e3b6dba8addf429a9193,6.2,16.8,6.8
32c51682f3598603d9d7fcf272647ff4,12.1,24.0,14.8
7842fd3a5d71c594ec7cbff2c70933e4,22.4,3.7,14.2
f0f8285f586e4629a21f1801860bb2f0,16.2,2.8,36.2
a7138ae6db40d0e8be493ff17881b919,10.0,10.0,15.0
ac0910962ce910cab3253d51a61eae63,4.6,21.0,6.9
0d891e9dca3019ee80224f695494035e,4.9,17.7,5.1
6ce0089b66d28dd84ac4684ae1834492,8.0,5.1,12.7
06bd57163079edd8a3785f77954ee05f,9.6,4.3,16.2
7486c8f52e3a300f281656b9c37ed26e,6.2,16.8,6.8
53d18c654f5cbf1d7fbc929d23cec51a,4.5,19.7,5.9
5faae398be35559838d6bcd6f8b5539f,4.4,17.0,5.8
e5a90cf356b7cd4fbc155ddf08c2366a,8.0,22.0,4.0
902776b3c718e23139511160502a7590,6.5,1.8,7.6
9f51210585005e6e921432e0c421cc1e,4.6,21.0,6.9
d85c92b024015041798540e1813b30b3,4.8,24.5,7.5
cdcf722d4175494f40035d29ae30ee4f,17.6,8.0,20.9
76b24f93255f9b2abe94a4053f25501b,8.3,5.2,12.6
fa88bfbd75525ba16ebc8ef113e014aa,6.5,1.8,7.6
8412d04a19c648df39329efa90f18e3c,43.1,11.1,45.2
ce59942db32f8066d7e2be10ac7bf39a,8.6,22.6,9.2
7a05bd5450ecdfe16c0cd95db732e985,10.5,6.6,14.6
beef0194ee07f9c11e757d82191350e4,10.3,6.3,14.6
fb13cf447e831c1a6c765cbfcfa6c1d8,4.0,21.0,4.0
f0bce057442032fb835d91e95eca0a88,5.2,16.7,4.8
9d8e0b5466491068885546d860b5437d,5.0,2.4,11.7
373445ad0f73fab3641db792d7a711a7,4.6,3.0,14.0
546a5f32609792d1ae03269c294fa5ab,9.7,9.3,13.3
08fb46443cc3580672cadf0453ee0d28,4.7,15.1,3.9
79c5daeb449bed623fb8e0fe79a4c2fc,7.4,28.7,12.6
