id,sku,a,b,c
243,290c01355b20fe2bfc21077b0be2d935,33.0,10.0,33.0
244,6dcbe41363ced3568746cc8b9d2f2ba7,13.0,10.0,25.0
245,79e1f78291c292692ff1415f76e377dd,5.0,23.0,18.0
246,aa71d7854a9165bc3ae19228614ce3d6,7.0,12.0,7.0
247,7fd62d4fb17748e83d7b056dcedeb2f1,5.0,19.0,12.0
248,8ade7a5311a97270b059736f268badd0,11.0,15.0,11.0
249,f4253008f5a1e548010a7be9fa33abdf,8.0,16.0,15.0
250,84a678f4470965162edb49bc97739bc1,38.0,10.0,32.0
251,48536a58ce6b95080317da3488053032,20.0,19.0,5.0
252,513a223a5b5b60768d84c944592e1475,6.0,7.0,6.0
253,c56379cd80b286cd3a24ebd27e0f1d72,19.0,4.0,10.0
254,d9ae07c47454dcf28851f2826448cf31,10.0,15.0,12.0
255,fd3d12b1e6c03e2774eaa45d208e7c5c,11.0,1.0,5.0
256,f3272c0b6ee1f4b33725cc9409ea95eb,1.0,21.0,5.0
257,f5d23177d38142391a9445c8c72c337d,27.0,24.0,32.0
258,6aa70e0d25bdacef0f427a59d09a4686,11.0,10.0,35.0
259,df1b2ce38fd7a94abd009beb83c048d7,3.0,6.0,4.0
260,8907c8aaaedded32740fe10d7d9bcd66,32.9,13.8,28.3
261,6666a19d501af687de1fdd2a43f24b0d,14.0,11.0,33.0
262,08f68cc9405187acc0fa778483e7c086,13.0,19.0,13.0
263,7dabdfc6121c2bc74a96e3585fef9b14,23.0,5.0,18.0
264,85dd8dc4b1c21ed582257935969a7041,36.0,11.0,11.0
265,17c198f5c21947e62b27d8382a27e66b,4.8,22.2,7.3
266,7ac5d02ef204c94f480bbeaa4163dcbe,40.3,20.8,31.4
267,1e950edce7fedd96407fb92d10147157,42.0,11.0,30.0
268,132dec0943082dd9bb087c49d453aed1,45.0,74.0,35.0
269,5fac79aac20cecf0246b3354aad68a2a,5.0,8.0,20.0
270,a354bcda3669fa9bf1e0f86889f8faf7,47.0,12.0,77.0
271,41aceebc1d34a1204237ab964c9aea66,13.0,16.0,13.0
272,8263665b75583e1206e6f9e5d791ece4,5.0,22.0,14.0
273,32c7cc0752a1403170fb142ee90bb582,6.0,4.0,13.0
274,9c4dd49b3f15a8cccac1fb7d497bcba0,18.4,4.4,10.7
275,a8ae55f400638112e39abfa859e913a6,10.0,35.0,29.0
276,73cab0595ab4e2a7a43f396f46361676,13.0,11.0,19.0
277,338f346f828ef50a2e6457f4316a09d7,57.1,10.0,39.5
278,afb8f5148d6112b15bc05ea76e58c4e6,50.0,12.0,28.0
279,b3a0622f67ee4135ddecf9bc53778b0b,6.0,7.0,6.0
280,bca6fab543458f498f5472ac39d77ece,6.0,5.0,5.0
281,d45fb75d21e31ac225f8cbd9c8ee653d,16.0,16.0,16.0
282,7e8ec74765f0b07a13d25bdaa67bfab1,5.0,15.0,8.0
283,a8a220367e1e264a11608695fba1a3e9,7.8,7.1,5.8
284,6263b81e12e645d49275d6373ba816ae,9.0,16.0,7.0
285,bc113d993131077d38c22703dfb20461,9.0,2.0,19.0
286,63c5cf620b9db0dfa1a83aa9d5c4a950,8.0,23.0,15.0
287,4b39c4b2ea0f254abc0b014ef4f2cdc2,15.0,2.0,8.0
288,bd16a69310811a051d77a0b7078370aa,38.0,11.0,35.0
289,78b4ce588390cff9c60b06c7f64e317a,8.3,2.4,14.0
290,48219c8470bd116eecf829e2f53e084c,7.0,6.0,6.0
291,d2175b20fd5d0a8e00288a02a2ee3ac1,15.0,20.0,5.0
292,49e782d9d4a5cdfec9cb52719d528fd8,6.0,13.0,4.0
293,d3eda9d2f9c81261fd498bf5da097510,6.0,7.0,6.0
294,18fe10134d882e3b1a6596ce6ce2aeb5,4.0,20.0,15.0
295,a26e64ff5c1101854cbdd3937eeda965,4.0,20.0,15.0
296,e4b43f9d22bd88b11cabf254aa4a7da6,5.0,6.0,6.0
297,be77f83cb6874b9b5897b3ec113d14a3,44.0,18.0,20.0
298,7acb0b25392f80ce6d2678f6445e0ce8,5.0,6.0,4.0
299,204c3c1cb86be0397ee99d503ca5d3d3,6.0,7.0,6.0
300,722799a327bb6c5909176a325611164d,7.0,23.0,21.0
301,67036842a11b0646839b17764d88a400,37.0,23.0,36.0
302,4f0268262989853763058e0ef0806e51,6.0,10.0,3.0
303,ed6670669eb4fc469adb8d7cdfeddf99,11.0,2.0,4.0
304,a6e16c3818eb759de09c7cc7b086007e,57.1,6.2,39.4
305,16ff6a48da517a15665ed6a52a2ffd71,20.0,11.0,6.0
306,d374bb29ec175f1dd0a67228a43ff03b,39.0,17.0,28.0
307,188ef437c141f14f23fff0bc64568a37,1.0,14.0,14.0
308,8783e68c17a24db1b2fa65be67989196,18.0,16.0,13.0
309,5acd5e65077bd18982f5ef74253abc76,5.0,5.0,7.0
310,4b39aff025eef022d59471cd7e830f4a,6.0,6.0,6.0
311,ffb13e5caec88d3f9b632676d7354bad,5.0,10.0,5.0
312,7d86db8c90c07cf8ccc90895d984ff7b,26.0,16.0,42.0
313,bb35d4ea0564d0ae20a638aa0eb9fad9,7.0,8.0,7.0
314,2a6e5886b4394216c2eddefe53cc4f93,51.0,34.0,48.0
315,68cc1641cd7a34f90290c8db966f2816,6.0,6.0,7.0
316,95d0759ec5c66c5bbd81753bd7759c64,6.0,6.0,7.0
317,91cdae6dbd8639e587b879d7facc45d9,31.0,22.0,6.0
318,a44637bbf3080cb36eb87f71e2fab304,4.0,8.0,16.0
319,a4df5441a6acc7eb44bdb33ce77cc7aa,27.0,40.0,16.0
320,a6243dfc2d273d71cfd7d09b2613d039,5.0,20.0,15.0
321,5f4863b014d73d19d3fc1fe170c3674f,10.0,4.0,7.0
322,67f88d92bfb15bc30b23704400141d80,7.0,23.0,21.0
323,91965cbff32cb5cba34d48ac00648987,12.0,16.0,11.0
324,85f002e553d2ca514f87bec26c9bed0b,29.1,8.4,22.3
325,b7480dd5af73f11075a6cc3ea756b3e8,47.5,37.3,29.5
326,8bf2ef30159ba13a91072ee070c28e14,39.0,28.0,18.0
327,ccf3627bb9b0d87887ce5b0348efbf8c,34.0,10.0,42.0
328,68937c9f0018b99d83c3a49b462d6280,40.0,40.0,20.0
329,3eb1557b1773df0a3d247dc4637c09f3,57.0,18.0,39.0
330,b40bf0c3caf08276555d4cce24cd2154,11.0,16.0,14.0
331,a9cd77f7edcd2115b492d91ceaed81f1,28.0,54.0,12.0
332,2898d4b4c64d5e33040c8d29c1b3ce39,8.0,10.0,7.0
333,3f4c0a1c4719954cd33c475baa0e047d,33.0,18.0,18.0
334,1b22dbedcfafa7702627db9e2c59f096,57.0,17.0,21.0
335,b25bc32e4c02fe0659e5ba26596ea7e9,19.0,5.0,12.0
336,b48ecbbdc94e95ee7eb9083c72b3fb92,10.0,6.0,6.0
337,2ebc80adf8d666eb000710a41711564c,36.0,12.0,45.0
338,37a8237f60f1f5741e4b4c189eccc066,13.0,3.0,10.0
339,bec8a8ea943b563a64812965d784b970,49.0,72.0,49.0
340,f5715a741a65ef968a331b62dc8df7cb,22.0,7.0,16.0
341,c4241ba1bb1275ff501c1789aaa0cc99,45.0,20.0,45.0
342,e2f00192394f393bf444f7f4cdb9a8fd,60.0,25.0,50.0
343,c4cab24f074a00b543ab93a4366f149a,15.0,40.0,20.0
344,72f6c66bf6124b3116810d07d2cd9f92,34.0,33.0,24.0
345,f88f88df7648b1a3a8b4ccc076b8aa7e,11.0,1.0,5.0
346,bba3b0e5af751e590619dc71b159e154,20.0,13.0,10.0
347,b1c4b5bc2397b9482680085e80840955,6.0,21.0,14.0
348,e8b3da1d0e805fa42bba07f1ab2c99b9,15.0,22.0,6.0
349,51504c4e7b23fc2d93810fa336d5908c,39.0,10.0,28.0
350,0a1b98dc15eed00e8c2c153f0c686c6d,6.0,8.0,6.0
351,991e133c854ea2409207d15e6095e909,7.0,14.0,7.0
352,b4105f8342c7aac25c92c82e37823e21,12.0,5.0,12.0
353,566ebed65e947667f0de97c593a3f9d9,7.0,6.0,19.0
354,eb5c979c841e480f37a7171cdd91d947,10.0,10.0,9.0
355,495bf7f5c9501f938983284bad637755,13.0,17.0,13.0
356,9843b4a8240d0749bb68ef88dc53955f,12.0,18.0,12.0
357,4dc54dc85ad0f46ea57d938871ae538d,6.0,10.0,6.0
358,ffbff8018c8a152ed9cc2ccf3ac06326,5.0,19.0,11.0
359,4d956a0548c668fec66a5911139fcaf8,26.0,30.0,8.0
360,19b4ff44b7063f1c8d6b4af7a1f31cf6,12.0,15.0,24.0
361,ac2ec19a890204445c51ecbadfed3e9a,7.0,6.0,6.0
362,9cae0f36e0077a381e9b8670b24246d4,33.0,32.0,21.0
363,e74f4fdc4cf84d0c4fdc9441a21583c6,35.7,12.3,40.0
364,f5060edb08e028168040a517a9ae086d,13.0,16.0,13.0
365,25006d68fac22b4585f11dd66c0f2bac,20.0,3.0,13.0
366,244927d5c63b6344120d3dfa266a6272,15.0,31.0,18.0
367,f1679e9577c9d5ab2c311c20450a7558,10.0,14.0,9.0
368,1322cc8a336b2ab4d9b668dfac8660d8,15.0,17.0,15.0
369,3b76ef58236aae35486efedfb2a5844e,7.0,6.0,6.0
370,9fac1580b2f2c0c7e547789247133ec9,7.0,15.0,3.0
371,9ffa04d8c1a9a006d7a8e7c0e58b36dd,20.0,15.0,20.0
372,d71b603bff3e025829c0208f7ca31e26,4.0,13.0,8.0
373,8a78e3f0f2837a6406a939344c565c7a,82.0,44.0,47.0
374,0443d2dcf5d58ea19cabe7db9fdb461f,10.0,14.0,10.0
375,cf321c738f68211633fa1e8c02e1089b,38.0,25.0,28.0
376,e029c68edbcab50c38c6219e5934c8f5,15.0,27.0,8.0
377,8fa8174b91a9f58726ef3c7f0458aafe,6.0,8.0,6.0
378,4a9c2bb859616684ebb3337b81675de0,17.0,13.0,13.0
379,023fc6d5298a1c9d121802533ee72d1a,12.0,65.0,55.0
380,9aabb7c9f1d3ffcc319a86121d4181ea,11.0,15.0,11.0
381,0677e4434a49cc0bce6768146920b74a,13.0,21.0,6.0
382,032092ddf2b9934841f5af2144da7091,22.0,3.0,7.0
383,5c281e8976b4367cca00fbe4af23ed64,6.0,10.0,4.0
384,889bdc14665f05feeb81467270f39223,7.0,7.0,10.0
385,2d2654b4fe6a4189e92a231514718fc8,58.0,20.0,39.0
